Range Start Year	Range End Year	Island	Lagoon thickness (m) 	Lagoon thickness uncertainty (m) 	Transgression rate (m yr-1) 	Transgression rate uncertainty (m yr-1) 	Island length at range start year (m)	Island length at range start year uncertainty (m)	Lagoon OC density (kg OC m-3)	Lagoon OC density uncertainty (kg OC m-3)	Total lagoon OC eroded (Gg OC yr-1)	Total lagoon OC eroded uncertainty (Gg OC yr-1)
1870	1942	Ship Shoal	6.63	1.98	0.67	0.25	3405	16	7.55	0.95	0.11	0.06
1870	1942	Assawoman	5.63	0.38	2.23	0.25	6599	16	8.18	1.04	0.68	0.12
1870	1942	Parramore	3.5	2.75	3.19	0.27	13000	16	7.55	0.95	1.1	0.88
1870	1942	Cobb	4.55	1.98	3.61	0.29	10256	16	10.11	1.28	1.7	0.78
1870	1942	Cedar	7.63	3.38	4.04	0.24	10687	16	9.1	1.17	2.99	1.39
1870	1942	Metompkin	7.26	3.06	4.57	0.24	11442	16	6.71	0.83	2.55	1.13
1870	1942	Myrtle	6.9	1.98	5.64	0.24	3659	16	5.91	0.75	0.84	0.27
1870	1942	Smith	5.98	0.29	6.81	0.24	12633	16	5.34	0.66	2.74	0.38
1870	1942	Hog	3.5	2.75	8.1	0.25	11288	16	7.55	0.95	2.42	1.92
1870	1942	Wreck	8.47	2.82	9.14	0.39	3934	16	7.51	0.93	2.29	0.82
1942	1994	Hog	3.5	2.75	-1.3	0.23	11041	16	7.55	0.95	0	0
1942	1994	Cobb	4.55	1.98	2.48	0.22	9131	16	10.11	1.28	1.04	0.48
1942	1994	Myrtle	6.9	1.98	3.03	0.22	4310	16	5.91	0.75	0.53	0.17
1942	1994	Smith	5.98	0.29	3.59	0.23	12067	16	5.34	0.66	1.38	0.2
1942	1994	Cedar	7.63	3.38	5.47	0.23	9781	16	9.1	1.17	3.71	1.72
1942	1994	Wreck	8.47	2.82	5.78	0.22	5741	16	7.51	0.93	2.11	0.75
1942	1994	Assawoman	5.63	0.38	6.74	0.23	6935	16	8.18	1.04	2.15	0.32
1942	1994	Parramore	3.5	2.75	8.86	0.22	13457	16	7.55	0.95	3.15	2.51
1942	1994	Metompkin	7.26	3.06	11.23	0.22	10204	16	6.71	0.83	5.58	2.45
1942	1994	Ship Shoal	6.63	1.98	16.67	0.22	4407	16	7.55	0.95	3.68	1.2
1994	2017	Wreck	8.47	2.82	-5.35	13.42	7106	8	7.51	0.93	0	0
1994	2017	Ship Shoal	6.63	1.98	-3.23	9.61	4187	8	7.55	0.95	0	0
1994	2017	Hog	3.5	2.75	1.12	3.94	12877	8	7.55	0.95	0	2.25
1994	2017	Metompkin	7.26	3.06	3.54	3.8	11096	8	6.71	0.83	1.91	2.22
1994	2017	Assawoman	5.63	0.38	4.56	3.66	5260	8	8.18	1.04	1.1	0.9
1994	2017	Smith	5.98	0.29	8.04	4.23	11373	8	5.34	0.66	2.92	1.58
1994	2017	Parramore	3.5	2.75	11.93	3.75	12372	8	7.55	0.95	3.9	3.34
1994	2017	Cobb	4.55	1.98	13.63	7.69	8847	8	10.11	1.28	5.55	4.02
1994	2017	Cedar	7.63	3.38	15.75	4.78	12093	8	9.1	1.17	13.21	7.29
1994	2017	Myrtle	6.9	1.98	30.99	6.26	3778	8	5.91	0.75	4.78	1.79
